"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"03/02/2022","AQS","040038001","1","0.056","ppm","54","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"03/03/2022","AQS","040038001","1","0.051","ppm","47","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"03/04/2022","AQS","040038001","1","0.049","ppm","45","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"03/05/2022","AQS","040038001","1","0.049","ppm","45","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"03/06/2022","AQS","040038001","1","0.051","ppm","47","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"03/07/2022","AQS","040038001","1","0.05","ppm","46","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"03/08/2022","AQS","040038001","1","0.051","ppm","47","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"03/09/2022","AQS","040038001","1","0.051","ppm","47","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"03/10/2022","AQS","040038001","1","0.048","ppm","44","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"03/11/2022","AQS","040038001","1","0.052","ppm","48","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"03/12/2022","AQS","040038001","1","0.047","ppm","44","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"03/13/2022","AQS","040038001","1","0.048","ppm","44","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"03/14/2022","AQS","040038001","1","0.056","ppm","54","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"03/15/2022","AQS","040038001","1","0.052","ppm","48","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"03/16/2022","AQS","040038001","1","0.053","ppm","49","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"03/17/2022","AQS","040038001","1","0.049","ppm","45","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"03/18/2022","AQS","040038001","1","0.051","ppm","47","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"03/19/2022","AQS","040038001","1","0.054","ppm","50","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"03/20/2022","AQS","040038001","1","0.05","ppm","46","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"03/21/2022","AQS","040038001","1","0.047","ppm","44","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"03/22/2022","AQS","040038001","1","0.052","ppm","48","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"03/23/2022","AQS","040038001","1","0.048","ppm","44","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"03/24/2022","AQS","040038001","1","0.049","ppm","45","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"03/25/2022","AQS","040038001","1","0.045","ppm","42","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"03/26/2022","AQS","040038001","1","0.047","ppm","44","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"03/27/2022","AQS","040038001","1","0.049","ppm","45","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"03/28/2022","AQS","040038001","1","0.05","ppm","46","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"03/29/2022","AQS","040038001","1","0.046","ppm","43","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"03/30/2022","AQS","040038001","1","0.048","ppm","44","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"03/31/2022","AQS","040038001","1","0.052","ppm","48","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"04/01/2022","AQS","040038001","1","0.051","ppm","47","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"04/02/2022","AQS","040038001","1","0.053","ppm","49","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"04/03/2022","AQS","040038001","1","0.058","ppm","61","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"04/04/2022","AQS","040038001","1","0.049","ppm","45","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"04/05/2022","AQS","040038001","1","0.049","ppm","45","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"04/06/2022","AQS","040038001","1","0.05","ppm","46","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"04/07/2022","AQS","040038001","1","0.049","ppm","45","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"04/08/2022","AQS","040038001","1","0.05","ppm","46","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"04/09/2022","AQS","040038001","1","0.052","ppm","48","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"04/10/2022","AQS","040038001","1","0.048","ppm","44","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"04/11/2022","AQS","040038001","1","0.041","ppm","38","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
