,site_id,date,s5p_ke_oz,vprps_def,surf_no2,h2o_energy,tcd_formald,surf_ch2o,carmon_cnd,tco_temp_moving_wkly_average,Spring,Summer,Winter
24977,40134008,2021-11-18,364.9477102224254,1.925134539604187,-7.904335140042002e-05,1.8141066316453456,7.753972319387262e-05,0.004517996203158938,0.0270929930172074,226.63711164510136,False,False,False
24978,40134008,2021-11-19,334.01459423169354,1.8810279369354248,-4.981696821485669e-05,2.749427436598408,7.117697645722347e-05,0.004033386779948941,0.0250753365729346,226.3184536773508,False,False,False
24979,40134008,2021-11-20,331.480534797252,1.7119241952896118,-4.4750897400153405e-05,3.09255173281597,0.0001067900547306,0.00630160758977046,0.0242756039555592,226.19444178034033,False,False,False
24980,40134008,2021-11-21,346.5280941929301,2.082846164703369,-6.218335060218636e-05,2.2118076525972965,7.405996498106527e-05,0.004278544112560054,0.0264050916646696,226.1360865573444,False,False,False
24981,40134008,2021-11-22,330.7308994153273,2.1344311237335205,-7.28911816358481e-05,3.02129594766781,0.000115033396117,0.006634369380532443,0.0261184037596346,225.8320220937863,False,False,False
24982,40134008,2021-11-23,169.7678541481423,1.659826397895813,-6.773311855393923e-05,5.516806486494521,0.0,0.0,0.024629000386681,225.50015633722236,False,False,False
24983,40134008,2021-11-24,344.09428645132283,1.1706939935684204,-7.4378730005214266e-06,4.444449597706961,9.523767585083734e-05,0.006414950015077865,0.0259121914337402,225.41000415768784,False,False,False
24984,40134008,2021-11-25,361.41491906709587,1.4730966091156006,-1.1726386932947027e-05,2.4725706519575983,9.450947978497776e-05,0.005528259366636954,0.0254060292477641,225.36931707555797,False,False,False
24985,40134008,2021-11-26,332.2084635408786,1.6437751054763794,-3.0155496641653446e-05,3.1492697632746056,0.0001312963584947,0.007815582141826457,0.0274314769440805,225.3543058534563,False,False,False
24986,40134008,2021-11-27,335.45024863454137,1.449415922164917,-2.4268990480077946e-05,2.8999692667598183,7.433830492086867e-05,0.0044126447914763075,0.0270146044263584,224.99052240866612,False,False,False
24987,40134008,2021-11-28,322.6825587026557,1.9164069890975952,-7.00594911327497e-05,2.1342357973149513,4.272906902745438e-05,0.0024988179886575416,0.0277261975569197,224.86096797512235,False,False,False
24988,40134008,2021-11-29,319.78920388078876,2.028692960739136,-0.00011699458969867979,1.7776285736610062,9.866190228376826e-05,0.005671892078584465,0.0268824967820298,224.96344452773428,False,False,False
24989,40134008,2021-11-30,312.14294614299257,2.00895094871521,-0.00010541825367885731,2.6777347866664876,8.843595877287776e-05,0.005074101842108032,0.0262843344803981,224.93418419369138,False,False,False
24990,40134008,2021-12-01,319.6033230935287,2.1322429180145264,-0.00012802163569418842,2.833314481866047,0.0001179813763274,0.0070597872341535365,0.0260877277479859,224.8386165823647,False,False,True
24991,40134008,2021-12-02,320.9475040814255,1.9453473091125488,-0.00013411051405963452,3.8725686983551144,8.902272674128094e-05,0.005497271325690865,0.0254873467728961,224.80264980954607,False,False,True
24992,40134008,2021-12-03,317.8904255247305,1.6652389764785769,-0.00011049506907187209,2.992248384136964,2.3102138744684185e-05,0.001450509352534903,0.0267399293375381,224.67817825084487,False,False,True
24993,40134008,2021-12-04,309.02244309037195,1.4346866607666016,-6.685912199026956e-05,2.4471711579192226,8.875884083960543e-05,0.0056328789943629895,0.0256322522186176,224.7711727296166,False,False,True
24994,40134008,2021-12-05,301.54550130447325,1.496489405632019,-3.123891575858813e-05,1.9514457538399712,0.0001147265683899,0.0071184434204918925,0.0257747036275907,224.81598235123894,False,False,True
24995,40134008,2021-12-06,319.8184730015186,1.436458945274353,-3.8857414014050315e-05,2.7929690799873996,8.865136719227305e-05,0.005334078127946258,0.0255558181905203,224.77340854200526,False,False,True
24996,40134008,2021-12-07,293.94602984292453,1.4174888134002686,-5.220115006458446e-07,0.0,0.0002009728700155,0.011837002070590182,0.0,224.86807060778693,False,False,True
24997,40134008,2021-12-08,217.80153918439197,1.1612584590911863,5.054748715057443e-06,3.999333807511828,6.003074096920242e-05,0.0037538246337903876,0.0240535165723311,224.9792316454701,False,False,True
