,site_id,date,vprps_def,surf_no2,cf,ndvi,s5p_ke_oz,bnid,wdsp_moving_wkly_average,tco_temp_moving_wkly_average,Spring,Summer,Winter
16,40130019,2019-01-17,0.7087167501449585,9.26094163001589e-06,0.379506764961981,0.18105,313.28680633523356,22.980518341064453,1.799409065927778,224.23555861163604,False,False,True
17,40130019,2019-01-18,0.6990230083465576,2.4344610625647124e-06,0.0,0.1818734375,288.69043362275016,27.000585556030277,1.8850385631833757,223.9915709504231,False,False,True
18,40130019,2019-01-19,1.0489097833633425,-8.639635288550468e-06,0.0,0.182696875,310.21642329048996,27.98047637939453,1.8138344969068254,223.8338317005178,False,False,True
19,40130019,2019-01-20,1.2889713048934937,-1.929952180803492e-05,0.0,0.1835203125,302.5284318283623,27.969974517822266,1.6994316237313407,223.8685297919795,False,False,True
20,40130019,2019-01-21,0.929263710975647,1.2778202195475158e-05,0.0,0.18434375,347.0525941209534,39.9793815612793,1.899549892970494,223.93195190962714,False,False,True
21,40130019,2019-01-22,0.9194239974021912,4.7690628708234595e-05,0.1515291391942264,0.1851671875,420.9880436761754,40.9453239440918,1.9707729816436768,223.89003412837715,False,False,True
22,40130019,2019-01-23,0.9395795464515686,8.507369773325441e-05,0.1139783580310552,0.185990625,357.88463484007565,30.970497131347656,1.9425410543169295,224.05767001285295,False,False,True
23,40130019,2019-01-24,1.1491472721099854,1.6166231626117755e-05,0.0538000996287842,0.1868140625,355.64645170779676,31.99077033996582,1.942479201725551,224.48767582272512,False,False,True
24,40130019,2019-01-25,1.1794062852859497,6.5064356842609526e-06,0.0,0.1876375,385.99943038721966,34.970436096191406,1.8567683356148856,224.9623182374956,False,False,True
25,40130019,2019-01-26,1.338805079460144,-1.3292993285826125e-05,0.0,0.1884609375,375.5390889617663,36.96015167236328,1.8423391239983695,225.22267654912645,False,False,True
26,40130019,2019-01-27,1.3792060613632202,-1.611118576740913e-05,0.2940079581980458,0.189284375,346.5388209453262,36.96822738647461,1.8566316877092635,225.27322288859764,False,False,True
27,40130019,2019-01-28,1.259214997291565,-1.819079941012539e-05,0.2031502969683653,0.1901078125,325.8053381342754,32.99515914916992,1.470939346722194,225.5123726643624,False,False,True
28,40130019,2019-01-29,1.3190993070602417,-1.9180395758324762e-05,0.5538854090627704,0.19093125,287.74532664713706,33.965023040771484,1.1426585146359034,225.70503063221122,False,False,True
29,40130019,2019-01-30,1.389204978942871,-3.590721647871269e-05,0.1957262502898428,0.1917546875,205.23711147041115,36.96478271484375,1.1853155664035253,225.73635983246913,False,False,True
30,40130019,2019-01-31,1.2587510347366333,-1.2701454692020852e-05,0.0,0.192578125,387.59634219149524,37.97128677368164,1.285038071019309,225.4479498444545,False,False,True
31,40130019,2019-02-01,1.108415961265564,-2.318043843509448e-05,0.0,0.1934015625,298.4291354334293,33.971126556396484,1.2991276042801994,225.76324694907203,False,False,True
