GEOID;tract;county;hh_count;median_hh_inc;mean_hh_inc
04013610500;Census Tract 6105; Maricopa County;3055;135705;169996
04013610600;Census Tract 6106; Maricopa County;2009;104241;132740
04013610700;Census Tract 6107; Maricopa County;3022;109149;135148
04013610800;Census Tract 6108; Maricopa County;2320;138000;177889
04013610901;Census Tract 6109.01; Maricopa County;1813;108750;200375
04013610902;Census Tract 6109.02; Maricopa County;1581;135146;162686
04013610903;Census Tract 6109.03; Maricopa County;1142;161235;179565
04013611000;Census Tract 6110; Maricopa County;1106;143000;152179
04013611100;Census Tract 6111; Maricopa County;1158;159583;160213
04013611200;Census Tract 6112; Maricopa County;2051;159356;191017
04013611300;Census Tract 6113; Maricopa County;2933;115635;129365
04013611400;Census Tract 6114; Maricopa County;2078;149276;152609
04013611500;Census Tract 6115; Maricopa County;2422;158194;189907
04013611600;Census Tract 6116; Maricopa County;986;167292;200242
04013611700;Census Tract 6117; Maricopa County;2264;117500;163406
04013611800;Census Tract 6118; Maricopa County;2515;104509;120290
04013611900;Census Tract 6119; Maricopa County;903;122566;144167
04013612000;Census Tract 6120; Maricopa County;1557;138835;150681
04013612200;Census Tract 6122; Maricopa County;2572;110882;147076
04013612301;Census Tract 6123.01; Maricopa County;1844;83552;88834
04013612302;Census Tract 6123.02; Maricopa County;1618;137292;179613
04013612401;Census Tract 6124.01; Maricopa County;1513;127554;135232
04013612402;Census Tract 6124.02; Maricopa County;1744;127900;147149
04013612500;Census Tract 6125; Maricopa County;1652;127045;145106
04013612600;Census Tract 6126; Maricopa County;940;103229;132533
04013612700;Census Tract 6127; Maricopa County;917;116065;148389
04013612800;Census Tract 6128; Maricopa County;882;115580;137226
04013612900;Census Tract 6129; Maricopa County;1019;133239;154877
04013613000;Census Tract 6130; Maricopa County;2121;176369;201244
04013613100;Census Tract 6131; Maricopa County;1451;113356;165252
04013613200;Census Tract 6132; Maricopa County;1610;114400;160110
04013613300;Census Tract 6133; Maricopa County;2449;134294;189715
04013613400;Census Tract 6134; Maricopa County;1516;82227;112826
04013613500;Census Tract 6135; Maricopa County;1620;100523;130862
04013613601;Census Tract 6136.01; Maricopa County;1249;104489;109165
04013613602;Census Tract 6136.02; Maricopa County;1660;149333;167640
04013613700;Census Tract 6137; Maricopa County;1764;138289;149106
04013613800;Census Tract 6138; Maricopa County;1493;121042;131347
04013613900;Census Tract 6139; Maricopa County;1976;143686;160382
04013614000;Census Tract 6140; Maricopa County;1470;118357;144086
04013614100;Census Tract 6141; Maricopa County;2645;103268;119148
04013614200;Census Tract 6142; Maricopa County;1826;119348;149702
04013614300;Census Tract 6143; Maricopa County;1154;147500;177014
04013614400;Census Tract 6144; Maricopa County;1706;56586;84017
04013614500;Census Tract 6145; Maricopa County;1529;76761;85763
04013614601;Census Tract 6146.01; Maricopa County;1467;58750;83176
04013614602;Census Tract 6146.02; Maricopa County;1501;76964;91316
04013614700;Census Tract 6147; Maricopa County;1601;49728;64826
04013614800;Census Tract 6148; Maricopa County;1881;69306;80648
04013614900;Census Tract 6149; Maricopa County;1720;98423;116246
04013615001;Census Tract 6150.01; Maricopa County;2360;192055;248906
04013615002;Census Tract 6150.02; Maricopa County;1841;152132;182948
04013615100;Census Tract 6151; Maricopa County;1715;158179;226505
04013615201;Census Tract 6152.01; Maricopa County;3231;87252;121141
04013615202;Census Tract 6152.02; Maricopa County;1531;85050;124500
04013615300;Census Tract 6153; Maricopa County;1378;47056;64024
04013615400;Census Tract 6154; Maricopa County;1665;58578;72644
04013615500;Census Tract 6155; Maricopa County;1734;61232;82690
04013615600;Census Tract 6156; Maricopa County;2010;56694;67234
04013615700;Census Tract 6157; Maricopa County;1075;101205;122798
04013615800;Census Tract 6158; Maricopa County;2082;101711;110504
04013615900;Census Tract 6159; Maricopa County;1872;88606;96823
04013616000;Census Tract 6160; Maricopa County;698;75000;80543
04013616100;Census Tract 6161; Maricopa County;1537;73555;84153
04013616200;Census Tract 6162; Maricopa County;1331;98995;104308
04013616300;Census Tract 6163; Maricopa County;783;93705;120783
04013616400;Census Tract 6164; Maricopa County;3119;76915;88220
04013616500;Census Tract 6165; Maricopa County;1542;69470;170067
04013616600;Census Tract 6166; Maricopa County;2169;71806;86893
04013616700;Census Tract 6167; Maricopa County;1998;86292;88321
04013616800;Census Tract 6168; Maricopa County;2028;87902;105561
04013616900;Census Tract 6169; Maricopa County;2096;81322;88731
04013617001;Census Tract 6170.01; Maricopa County;0;-;-
04013617002;Census Tract 6170.02; Maricopa County;2416;67297;101385
04013617100;Census Tract 6171; Maricopa County;939;111964;123682
04013617200;Census Tract 6172; Maricopa County;931;131213;138220
04013617300;Census Tract 6173; Maricopa County;1293;102083;119923
04013617400;Census Tract 6174; Maricopa County;3648;63549;68356
04013617500;Census Tract 6175; Maricopa County;1863;60483;87139
04013617600;Census Tract 6176; Maricopa County;2655;67528;87693
04013617700;Census Tract 6177; Maricopa County;1371;68703;98021
04013617800;Census Tract 6178; Maricopa County;874;134904;145584
04013617900;Census Tract 6179; Maricopa County;1091;68679;97614
04013618000;Census Tract 6180; Maricopa County;1486;103885;106562
04013618100;Census Tract 6181; Maricopa County;1535;89562;104307
04013618200;Census Tract 6182; Maricopa County;1443;82321;80685
04013618300;Census Tract 6183; Maricopa County;999;92798;103293
04013618400;Census Tract 6184; Maricopa County;1546;60000;65134
04013618500;Census Tract 6185; Maricopa County;1830;53864;81559
04013618600;Census Tract 6186; Maricopa County;1765;59779;75648
04013618700;Census Tract 6187; Maricopa County;1005;78490;86246
04013618800;Census Tract 6188; Maricopa County;2351;44860;54588
04013618900;Census Tract 6189; Maricopa County;3075;68347;83939
